date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:34	174/174	---MC-	200	added ('OK')	text/plain	date:Thu,%2019%20Jan%202023%2017:21:32%20GMT	http://solutionsfbia.com/robots.txt		(from )
10:21:36	144730/144730	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2017:21:32%20GMT	http://solutionsfbia.com/	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/index.html	(from )
10:21:37	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2019%20Jan%202023%2017:21:35%20GMT	http://solutionsfbia.com/xmlrpc.php	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/xmlrpc.php	(from http://solutionsfbia.com/)
10:21:38	4203/4203	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-preloader.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-preloaderc225.css	(from http://solutionsfbia.com/)
10:21:39	21850/21850	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Jun%202021%2009:44:23%20GMT	http://solutionsfbia.com/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.6	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layersliderfa4a.css	(from http://solutionsfbia.com/)
10:21:39	4099/4099	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-reset.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-resetc225.css	(from http://solutionsfbia.com/)
10:21:39	1773/1773	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2007%20Oct%202021%2019:26:46%20GMT	http://solutionsfbia.com/comments/feed/	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/comments/feed/index.html	(from http://solutionsfbia.com/)
10:21:39	10841/10841	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-grid.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-gridc225.css	(from http://solutionsfbia.com/)
10:21:40	26958/26958	---M--	200	added ('OK')	image/png	etag:%228289570819df9d60%22	https://i0.wp.com/solutionsfbia.com/wp-content/uploads/2021/07/33-3.png?fit=455%2C520	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/i0.wp.com/solutionsfbia.com/wp-content/uploads/2021/07/33-3e439.png	(from http://solutionsfbia.com/)
10:21:41	162119/162119	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-header.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-headerc225.css	(from http://solutionsfbia.com/)
10:21:43	167547/167547	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/style.css?ver=6.1.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/style6a4d.css	(from http://solutionsfbia.com/)
10:21:43	15740/15740	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2007%20Oct%202021%2019:26:46%20GMT	http://solutionsfbia.com/feed/	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/feed/index.html	(from http://solutionsfbia.com/)
10:21:44	68611/68611	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-widgets.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-widgetsc225.css	(from http://solutionsfbia.com/)
10:21:46	40253/40253	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-new-css.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-new-cssc225.css	(from http://solutionsfbia.com/)
10:21:47	18070/18070	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-perevazka-css.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/thegem-perevazka-cssc225.css	(from http://solutionsfbia.com/)
10:21:50	241718/241718	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:45:21%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/custom-NZXTPKvN.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/custom-NZXTPKvNc225.css	(from http://solutionsfbia.com/)
10:21:52	12795/12795	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/js/fancyBox/jquery.fancybox.min.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/js/fancyBox/jquery.fancybox.minc225.css	(from http://solutionsfbia.com/)
10:21:52	94889/94889	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2003:46:59%20GMT	http://solutionsfbia.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from http://solutionsfbia.com/)
10:21:54	11256/11256	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Jun%202021%2009:44:18%20GMT	http://solutionsfbia.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from http://solutionsfbia.com/)
10:21:54	7735/7735	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/wp-mediaelement.css?ver=5.4.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/wp-mediaelementc225.css	(from http://solutionsfbia.com/)
10:21:55	217/217	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2003:41:04%20GMT	http://solutionsfbia.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-includes/css/classic-themes.min68b3.css	(from http://solutionsfbia.com/)
10:21:55	2803/2803	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Dec%202022%2015:37:54%20GMT	http://solutionsfbia.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.2	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/contact-form-7/includes/css/styles9f31.css	(from http://solutionsfbia.com/)
10:21:55	19128/19128	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from http://solutionsfbia.com/)
10:21:56	13805/13805	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.6.5	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min3ab2.css	(from http://solutionsfbia.com/)
10:21:56	163326/163326	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.5	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/css/frontend.min3ab2.css	(from http://solutionsfbia.com/)
10:21:58	1120/1120	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2006:17:45%20GMT	http://solutionsfbia.com/wp-content/uploads/elementor/css/post-4169.css?ver=1652681865	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/uploads/elementor/css/post-4169a3a1.css	(from http://solutionsfbia.com/)
10:21:59	87719/87719	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2006:17:46%20GMT	http://solutionsfbia.com/wp-content/uploads/elementor/css/post-4168.css?ver=1652681866	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/uploads/elementor/css/post-4168dfa0.css	(from http://solutionsfbia.com/)
10:22:00	57912/57912	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from http://solutionsfbia.com/)
10:22:04	669/669	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from http://solutionsfbia.com/)
10:22:04	677/677	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from http://solutionsfbia.com/)
10:22:05	65785/65785	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/icons-material.css?ver=1.0.0	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/icons-material8a54.css	(from http://solutionsfbia.com/)
10:22:07	675/675	---M--	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2004:20:47%20GMT	http://solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from http://solutionsfbia.com/)
10:22:07	19449/19449	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2015:40:48%20GMT	http://solutionsfbia.com/wp-content/themes/thegem-elementor/css/icons-elegant.css?ver=1.0.0	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/themes/thegem-elementor/css/icons-elegant8a54.css	(from http://solutionsfbia.com/)
10:22:08	86615/86615	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202023%2003:46:42%20GMT	http://solutionsfbia.com/wp-content/plugins/jetpack/css/jetpack.css?ver=11.7.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/jetpack/css/jetpack1021.css	(from http://solutionsfbia.com/)
10:22:10	860/860	---M--	200	added ('OK')	application/javascript	date:Sat,%2019%20Jun%202021%2009:44:27%20GMT	http://solutionsfbia.com/wp-content/plugins/zilla-likes/scripts/zilla-likes.js?ver=6.1.1	C:/Users/Scral/OneDrive/Documents/MyWebStores/sfbia/solutionsfbia.com/wp-content/plugins/zilla-likes/scripts/zilla-likes6a4d.js	(from http://solutionsfbia.com/)
